"used","BCP 47","Writing system (ISO 15924 codes)","Writing system name (English)","ZomboDB analyzer","Language name (and writing system) in English","Directionality","Local language name","Romanized language name","English Wikipedia article","Local Wikipedia article","Comment","TODO USE THIS:","https://github.com/unicode-org/cldr-json/blob/master/cldr-json/cldr-localenames-modern/main/nl/languages.json"
,"tum",,,,"Tumbuka","ltr","chiTumbuka",,"en:Tumbuka language",,,,
,"tw",,,,"Twi","ltr","Twi",,"en:Twi language",,,,
,"ty","Latn","Latin",,"Tahitian","ltr","Reo Mā`ohi",,"en:Tahitian language",,,,
,"udm","Cyrl","Cyrillic",,"Udmurt","ltr","Удмурт кыл",,"en:Udmurt language",,,,
"y","ug","Aran","Arabic (Nastaliq variant)",,"Uyghur","ltr","ئۇيغۇرچە","Uyƣurqə","en:Uyghur language",,,,
,"uk","Cyrl","Cyrillic",,"Ukrainian","ltr","Українська",,"en:Ukrainian language",,,,
"y","ur","Aran","Arabic (Nastaliq variant)",,"Urdu","rtl","اردو",,"en:Urdu language",,,,
"y","uz","Cyrl","Cyrillic",,"Uzbek","ltr","Ўзбек",,"en:Uzbek language",,,,
,"uz-AF","Aran","Arabic (Nastaliq variant)",,"Afghanistani Uzbek","rtl","اوزبیکی",,"en:Uzbek Afghan language",,,,
,"ve",,,,"Venda","ltr","Tshivenḓa",,"en:Venda language",,,,
,"vec","Latn","Latin","italian","Venetian","ltr","Vèneto",,"en:Venetian language",,,,
,"vi","Latn","Latn",,"Vietnamese","ltr","Tiếng Việt",,"en:Vietnamese language","vi:Tiếng Việt",,,
,"vls","Latn","Latin",,"West Flemish","ltr","West-Vlaoms",,"en:West Flemish language",,,,
,"vo","Latn","Latin",,"Volapük","ltr","Volapük",,"en:Volapük language",,,,
,"wa","Latn","Latin","french","Walloon","ltr","Walon",,"en:Walloon language",,,,
,"wo","Latn","Latin",,"Wolof","ltr","Wollof",,"en:Wolof language",,,,
,"xal","Cyrl","Cyrillic",,"Kalmyk","ltr","Хальмг",,"en:Kalmyk language",,,,
,"xh",,,,"Xhosa","ltr","isiXhosa",,"en:Xhosan language",,,,
,"xmf","Geor","Georgian (Mkhedruli and Mtavruli)",,"Megrelian","ltr","მარგალური",,"en:Megrelian language",,,,
,"yi","Hebr","Hebrew",,"Yiddish","rtl","ייִדיש",,"en:Yiddish language",,,,
,"yo",,,,"Yoruba","ltr","Yorùbá",,"en:Yoruba language",,,,
,"za",,,,"Zhuang","ltr","壮语","Cuengh / Tôô","en:Zhuang language",,,,
,"zh",,"?","cjk","Chinese","ltr","中文",,"en:Chinese language","zh:汉语",,,
"y","zh-Hans","Hans","Han (Simplified variant)","chinese","Chinese (simplified)","ltr","中文 (简化字)",,"en:Simplified Chinese characters","zh:简化字",,,
"y","zh-Hant","Hant","Han (Traditional variant)","cjk","Chinese (traditional)","ltr","‪中文 (台灣)‬ / 文言",,"en:Traditional Chinese characters","zh:繁体字","CANNOT USE chinese ANALYZER",,
,"yue",,"?","cjk","Cantonese","ltr","粵語 / 粤语",,"en:Cantonese","zh-yue:粵語",,,
,"zu",,"Latn",,"Zulu","ltr","isiZulu",,"en:Zulu language",,,,
